year,node_out,node_in,type,re_export_A,trf_A,capacity_A,capacity_constrained_A,inv_A,loss_A,emm_type_1,emm_A_1,emm_type_2,emm_A_2
2012,NE_R,SD_R,Rail,0,1.51,0,0,1.5,0,GHG,0,,
2012,NE_R,WY_R,Rail,0,2.19,0,0,1.5,0,GHG,0,,
2012,NJ_R,NY_R,Rail,0,1.25,0,0,1.5,0,GHG,0,,
2012,NJ_R,PA_R,Rail,0,1.29,0,0,1.5,0,GHG,0,,
2012,NM_R,AZ_R,Rail,0,1.72,0,0,1.5,0,GHG,0,,
2012,NM_R,CO_R,Rail,0,1.71,0,0,1.5,0,GHG,0,,
2012,NM_R,OK_R,Rail,0,2.14,0,0,1.5,0,GHG,0,,
2012,NM_R,TX_R,Rail,0,2.43,0,0,1.5,0,GHG,0,,
2012,NV_R,AZ_R,Rail,0,2.14,0,0,1.5,0,GHG,0,,
2012,NV_R,CA_R,Rail,0,1.48,0,0,1.5,0,GHG,0,,
2012,NV_R,ID_R,Rail,0,2.06,0,0,1.5,0,GHG,0,,
2012,NV_R,OR_R,Rail,0,2.26,0,0,1.5,0,GHG,0,,
2012,NV_R,UT_R,Rail,0,1.73,0,0,1.5,0,GHG,0,,
2012,NY_R,CT_R,Rail,0,1.22,0,0,1.5,0,GHG,0,,
2012,NY_R,EC_R,Rail,0,4.85,0,0,1.5,0,GHG,0,,
2012,NY_R,MA_R,Rail,0,1.37,0,0,1.5,0,GHG,0,,
2012,NY_R,NJ_R,Rail,0,1.25,0,0,1.5,0,GHG,0,,
2012,NY_R,PA_R,Rail,0,1.34,0,0,1.5,0,GHG,0,,
2012,OH_R,IN_R,Rail,0,1.41,0,0,1.5,0,GHG,0,,
2012,OH_R,KY_R,Rail,0,1.48,0,0,1.5,0,GHG,0,,
2012,OH_R,MI_R,Rail,0,1.51,0,0,1.5,0,GHG,0,,
2012,OH_R,PA_R,Rail,0,1.44,0,0,1.5,0,GHG,0,,
2012,OH_R,WV_R,Rail,0,1.09,0,0,1.5,0,GHG,0,,
2012,OK_R,AR_R,Rail,0,1.61,0,0,1.5,0,GHG,0,,
2012,OK_R,CO_R,Rail,0,2.12,0,0,1.5,0,GHG,0,,
2012,OK_R,KS_R,Rail,0,1.26,0,0,1.5,0,GHG,0,,
2012,OK_R,MO_R,Rail,0,1.79,0,0,1.5,0,GHG,0,,
2012,OK_R,NM_R,Rail,0,2.14,0,0,1.5,0,GHG,0,,
2012,OK_R,TX_R,Rail,0,0.99,0,0,1.5,0,GHG,0,,
2012,OR_R,CA_R,Rail,0,2.52,0,0,1.5,0,GHG,0,,
2012,OR_R,ID_R,Rail,0,5.93,0,0,1.5,0,GHG,0,,
2012,OR_R,NV_R,Rail,0,2.26,0,0,1.5,0,GHG,0,,
2012,OR_R,WA_R,Rail,0,1.43,0,0,1.5,0,GHG,0,,
2012,PA_R,DE_R,Rail,0,1.24,0,0,1.5,0,GHG,0,,
2012,PA_R,MD_R,Rail,0,1.19,0,0,1.5,0,GHG,0,,
2012,PA_R,NJ_R,Rail,0,1.29,0,0,1.5,0,GHG,0,,
2012,PA_R,NY_R,Rail,0,1.34,0,0,1.5,0,GHG,0,,
2012,PA_R,OH_R,Rail,0,1.69,0,0,1.5,0,GHG,0,,
2012,PA_R,WV_R,Rail,0,1.57,0,0,1.5,0,GHG,0,,
2012,RI_R,MA_R,Rail,0,1,0,0,1.5,0,GHG,0,,
2012,SC_R,GA_R,Rail,0,1.36,0,0,1.5,0,GHG,0,,
2012,SC_R,NC_R,Rail,0,1.28,0,0,1.5,0,GHG,0,,
2012,SD_R,IA_R,Rail,0,1.86,0,0,1.5,0,GHG,0,,
2012,SD_R,MN_R,Rail,0,1.68,0,0,1.5,0,GHG,0,,
2012,SD_R,MT_R,Rail,0,2.41,0,0,1.5,0,GHG,0,,
2012,SD_R,ND_R,Rail,0,1.51,0,0,1.5,0,GHG,0,,
2012,SD_R,NE_R,Rail,0,1.51,0,0,1.5,0,GHG,0,,
2012,SD_R,WY_R,Rail,0,2,0,0,1.5,0,GHG,0,,
2012,TN_R,AL_R,Rail,0,1.45,0,0,1.5,0,GHG,0,,
2012,TN_R,AR_R,Rail,0,1.78,0,0,1.5,0,GHG,0,,
2012,TN_R,GA_R,Rail,0,1.36,0,0,1.5,0,GHG,0,,
2012,TN_R,KY_R,Rail,0,1.13,0,0,1.5,0,GHG,0,,
2012,TN_R,MO_R,Rail,0,1.88,0,0,1.5,0,GHG,0,,
2012,TN_R,MS_R,Rail,0,1.62,0,0,1.5,0,GHG,0,,
2012,TN_R,NC_R,Rail,0,1.66,0,0,1.5,0,GHG,0,,
2012,TN_R,VA_R,Rail,0,1.85,0,0,1.5,0,GHG,0,,
2012,TX_R,AR_R,Rail,0,2,0,0,1.5,0,GHG,0,,
2012,TX_R,LA_R,Rail,0,1.83,0,0,1.5,0,GHG,0,,
2012,TX_R,NM_R,Rail,0,2.43,0,0,1.5,0,GHG,0,,
2012,TX_R,OK_R,Rail,0,1.74,0,0,1.5,0,GHG,0,,
2012,UT_R,AZ_R,Rail,0,2.1,0,0,1.5,0,GHG,0,,
2012,UT_R,CO_R,Rail,0,1.87,0,0,1.5,0,GHG,0,,
2012,UT_R,ID_R,Rail,0,1.76,0,0,1.5,0,GHG,0,,
2012,UT_R,NV_R,Rail,0,1.73,0,0,1.5,0,GHG,0,,
2012,UT_R,WY_R,Rail,0,1.72,0,0,1.5,0,GHG,0,,
2012,VA_R,KY_R,Rail,0,1.61,0,0,1.5,0,GHG,0,,
2012,VA_R,MD_R,Rail,0,1.22,0,0,1.5,0,GHG,0,,
2012,VA_R,NC_R,Rail,0,1.37,0,0,1.5,0,GHG,0,,
2012,VA_R,TN_R,Rail,0,1.85,0,0,1.5,0,GHG,0,,
2012,VA_R,WV_R,Rail,0,1.08,0,0,1.5,0,GHG,0,,
2012,VT_R,EC_R,Rail,0,4.38,0,0,1.5,0,GHG,0,,
2012,WA_R,ID_R,Rail,0,2.5,0,0,1.5,0,GHG,0,,
2012,WA_R,OR_R,Rail,0,1.43,0,0,1.5,0,GHG,0,,
2012,WA_R,WC_R,Rail,0,10.38,0,0,1.5,0,GHG,0,,
2012,WC_R,EC_R,Rail,0,6,0,0,1.5,0,GHG,0,,
2012,WC_R,ID_R,Rail,0,10.39,0,0,1.5,0,GHG,0,,
2012,WC_R,MN_R,Rail,0,11.2,0,0,1.5,0,GHG,0,,
2012,WC_R,MT_R,Rail,0,9.82,0,0,1.5,0,GHG,0,,
2012,WC_R,ND_R,Rail,0,10.39,0,0,1.5,0,GHG,0,,
2012,WC_R,WA_R,Rail,0,10.38,0,0,1.5,0,GHG,0,,
2012,WI_R,IA_R,Rail,0,1.55,0,0,1.5,0,GHG,0,,
2012,WI_R,IL_R,Rail,0,1.64,0,0,1.5,0,GHG,0,,
2012,WI_R,MI_R,Rail,0,1.61,0,0,1.5,0,GHG,0,,
2012,WI_R,MN_R,Rail,0,1.53,0,0,1.5,0,GHG,0,,
2012,WV_R,KY_R,Rail,0,1.21,0,0,1.5,0,GHG,0,,
2012,WV_R,MD_R,Rail,0,1.52,0,0,1.5,0,GHG,0,,
2012,WV_R,OH_R,Rail,0,1.09,0,0,1.5,0,GHG,0,,
2012,WV_R,PA_R,Rail,0,1.57,0,0,1.5,0,GHG,0,,
2012,WV_R,VA_R,Rail,0,1.08,0,0,1.5,0,GHG,0,,
2012,WY_R,CO_R,Rail,0,1.64,0,0,1.5,0,GHG,0,,
2012,WY_R,ID_R,Rail,0,1.94,0,0,1.5,0,GHG,0,,
2012,WY_R,MT_R,Rail,0,1.79,0,0,1.5,0,GHG,0,,
2012,WY_R,NE_R,Rail,0,2.19,0,0,1.5,0,GHG,0,,
2012,WY_R,SD_R,Rail,0,2,0,0,1.5,0,GHG,0,,
2012,WY_R,UT_R,Rail,0,1.72,0,0,1.5,0,GHG,0,,
2012,CA_R,CA,UnLoad,0,1,215.76,1,1.5,0,GHG,0,,
2012,CO_R,CO,UnLoad,0,1,6,1,1.5,0,GHG,0,,
2012,DE_R,DE,UnLoad,0,1,145,1,1.5,0,GHG,0,,
2012,EC_R,EC,UnLoad,0,1,240,1,1.5,0,GHG,0,,
2012,IL_R,IL,UnLoad,0,1,312.04,1,1.5,0,GHG,0,,
2012,IN_R,IN,UnLoad,0,1,0,1,1.5,0,GHG,0,,
2012,KS_R,KS,UnLoad,0,1,32,1,1.5,0,GHG,0,,
2012,KY_R,KY,UnLoad,0,1,0,1,1.5,0,GHG,0,,
2012,LA_R,LA,UnLoad,0,1,687.23,1,1.5,0,GHG,0,,
2012,MN_R,MN,UnLoad,0,1,0,1,1.5,0,GHG,0,,
2012,MS_R,MS,UnLoad,0,1,50,1,1.5,0,GHG,0,,
2012,MT_R,MT,UnLoad,0,1,0,1,1.5,0,GHG,0,,
2012,ND_R,ND,UnLoad,0,1,0,1,1.5,0,GHG,0,,
2012,NJ_R,NJ,UnLoad,0,1,101.47,1,1.5,0,GHG,0,,
2012,NM_R,NM,UnLoad,0,1,0,1,1.5,0,GHG,0,,
2012,OH_R,OH,UnLoad,0,1,56.76,1,1.5,0,GHG,0,,
2012,OK_R,OK,UnLoad,0,1,176.76,1,1.5,0,GHG,0,,
